user_key,assigned_at,plan_type,assigning_team,seat_status,pending_cancellation_date
usr_7cb4d78030093719,2026-05-28,business,Engineering,assigned,
usr_9fc5eae2610205ef,2026-05-17,business,Data,assigned,
usr_599574452e3b7892,2026-05-06,business,Product,assigned,
usr_8c6696f4e2749cd8,2026-04-25,business,Security,assigned,
usr_a2bbe6f3c3084505,2026-04-14,business,Customer Success,assigned,
usr_679d039c0d62de5c,2026-04-03,business,Operations,assigned,
usr_4f2fb105769ad370,2026-03-23,business,Engineering,assigned,
usr_c2545c27c434ae94,2026-03-12,business,Data,assigned,
usr_c53049cf4c179736,2026-03-01,business,Product,assigned,
usr_c5f5e51a6836dfea,2026-02-18,business,Security,assigned,
usr_2c382e0b2b2262a7,2026-02-07,business,Customer Success,assigned,
usr_9076e6eb70b42014,2026-01-27,business,Operations,assigned,
usr_6d11ba549c896ab1,2026-01-16,business,Engineering,assigned,
usr_a5a7e55e08536a3d,2026-01-05,business,Data,assigned,
usr_a39f3464c443df7a,2025-12-25,business,Product,assigned,
usr_16d99b8620074b8e,2025-12-14,business,Security,assigned,
usr_3a048213c4ca2d22,2025-12-03,business,Customer Success,assigned,
usr_81f24fd7ab1e9a7d,2025-11-22,business,Operations,assigned,
usr_cb3d904445cabcaf,2025-11-11,business,Engineering,assigned,
usr_9db16a2a396eb81d,2025-10-31,business,Data,assigned,
usr_63846a9127742a28,2025-10-20,business,Product,assigned,
usr_da739963bef2c4e6,2025-10-09,business,Security,assigned,
usr_fd6dda36b92f89c7,2025-09-28,business,Customer Success,assigned,
usr_d83e604f18767f35,2025-09-17,business,Operations,assigned,
usr_219034b6bc4a2fb0,2025-09-06,business,Engineering,assigned,
usr_6c7b1696d4093587,2025-08-26,business,Data,assigned,
usr_e4336b21a87851bb,2025-08-15,business,Product,assigned,
usr_a8110948ed7680bb,2025-08-04,business,Security,assigned,
usr_d4b132087e418e88,2025-07-24,business,Customer Success,assigned,
usr_c120e9848d1e271e,2025-07-13,business,Operations,assigned,
usr_397cb97205e3c865,2025-07-02,business,Engineering,assigned,
usr_1c8a04c500850584,2025-06-21,business,Data,assigned,
usr_5f01cf9689cac7da,2025-06-10,business,Product,assigned,
usr_a79b342b9cbe7318,2025-05-30,business,Security,assigned,
usr_eba58a7d9700ab36,2025-05-19,business,Customer Success,assigned,
usr_a15af272bb8fb8e2,2025-05-08,business,Operations,assigned,
usr_98b2584d96d76b65,2026-06-21,business,Engineering,assigned,
usr_639f684335f65a86,2026-06-10,business,Data,assigned,
usr_5859abdb5b78e1cb,2026-05-30,business,Product,assigned,
usr_4f733ce75ddf98de,2026-05-19,business,Security,assigned,
usr_abc56925512bf3de,2026-05-08,business,Customer Success,assigned,
usr_0a0f299b46c7b431,2026-04-27,business,Operations,assigned,
usr_2d911b3171333e20,2026-04-16,business,Engineering,assigned,
usr_411c0ee4158ec6b8,2026-04-05,business,Data,assigned,
usr_8a1d56b282301e9f,2026-03-25,business,Product,assigned,
usr_722b28cd7052f55b,2026-03-14,business,Security,assigned,
usr_b987780ba3ff4bf2,2026-03-03,business,Customer Success,assigned,
usr_53d574ca3ca234c7,2026-02-20,business,Operations,assigned,
usr_bae61016c7bd99c9,2026-02-09,business,Engineering,assigned,
usr_1965b3c09deaaf7c,2026-01-29,business,Data,assigned,
usr_25f1959008bfbdda,2026-01-18,business,Product,assigned,
usr_a5966ed6a4872ebc,2026-01-07,business,Security,assigned,
usr_63411fd5d7a454c2,2025-12-27,business,Customer Success,assigned,
usr_235e059ca1104020,2025-12-16,business,Operations,assigned,
usr_01f20d73361ac638,2025-12-05,business,Engineering,assigned,
usr_c996ef9e46bb458a,2025-11-24,business,Data,assigned,
usr_f4de64f110a6763c,2025-11-13,business,Product,assigned,
usr_fb49cc1668566310,2025-11-02,business,Security,assigned,
usr_cbbc3982b2f26df7,2025-10-22,business,Customer Success,assigned,
usr_c9b3b8bf19e3d761,2025-10-11,business,Operations,assigned,
usr_dd5580cac8e22f82,2025-09-30,business,Engineering,assigned,
usr_635640d098d5da53,2025-09-19,business,Data,assigned,
usr_ef965b8802422fb2,2025-09-08,business,Product,assigned,
usr_8eb71f3ea723fbe6,2025-08-28,business,Security,assigned,
usr_8a4100a15df179db,2025-08-17,business,Customer Success,assigned,
usr_baf8425e0a6d809f,2025-08-06,business,Operations,assigned,
usr_1a61d5b735f9d1f6,2025-07-26,business,Engineering,assigned,
usr_affcb7f65c1d1588,2025-07-15,business,Data,assigned,
usr_5ad9b1ce46e3e6fd,2025-07-04,business,Product,assigned,
usr_9cd0d1813b16f814,2025-06-23,business,Security,assigned,
usr_7952ea61fb5de101,2025-06-12,business,Customer Success,assigned,
usr_76e0a55453acb208,2025-06-01,business,Operations,assigned,
usr_9fc90f1699340112,2025-05-21,business,Engineering,assigned,
usr_8cbc6cc600c00861,2025-05-10,business,Data,assigned,
usr_bcdc716071fd1ff4,2026-06-23,business,Product,assigned,
usr_e42fb011f3e64d74,2026-06-12,business,Security,assigned,
usr_f0285234d2321e3b,2026-06-01,business,Customer Success,assigned,
usr_3a6c35ff4f6ad8c2,2026-05-21,business,Operations,assigned,
usr_786d02a08044e8f2,2026-05-10,business,Engineering,assigned,
usr_8729d8cb9faaf89b,2026-04-29,business,Data,assigned,
usr_4c5969b6844f45de,2026-04-18,business,Product,assigned,
usr_831b72631e036b5b,2026-04-07,business,Security,assigned,
usr_4b07d078984c0668,2026-03-27,business,Customer Success,assigned,
usr_700bf38a98fb4308,2026-03-16,business,Operations,assigned,
usr_52fcf4b5d673feb7,2026-03-05,business,Engineering,assigned,
usr_f0206ad401f300d0,2026-02-22,business,Data,assigned,
usr_64308c8519426c71,2026-02-11,business,Product,assigned,
usr_058bc37f3578c2f1,2026-01-31,business,Security,assigned,
usr_f44f79f493e9f99a,2026-01-20,business,Customer Success,assigned,
usr_1803a99048bf207a,2026-01-09,business,Operations,assigned,
usr_15e42d65ce39a83f,2025-12-29,business,Engineering,assigned,
usr_dc57387f854c8d08,2025-12-18,business,Data,assigned,
usr_21a7ac4eb5f50540,2025-12-07,business,Product,assigned,
usr_510f6b4b5b7235a2,2025-11-26,business,Security,assigned,
usr_943f76c52e91b675,2025-11-15,business,Customer Success,assigned,
usr_0a3627dc5b6f3e20,2025-11-04,business,Operations,assigned,
usr_ba2fcfab5c62a553,2025-10-24,business,Engineering,assigned,
usr_84b089268d04e446,2025-10-13,business,Data,assigned,
usr_5c05d81accdcc660,2025-10-02,business,Product,assigned,
usr_3e015b31cd739b93,2025-09-21,business,Security,assigned,
usr_f55c005b48052ce0,2025-09-10,business,Customer Success,assigned,
usr_a6b7e3f375efc0a1,2025-08-30,business,Operations,assigned,
usr_0f0e5bc92dc3b963,2025-08-19,business,Engineering,assigned,
usr_c249c743dab363e2,2025-08-08,business,Data,assigned,
usr_f72690540262075b,2025-07-28,business,Product,assigned,
usr_ce58453b82225504,2025-07-17,business,Security,assigned,
usr_3a1a590866ae5186,2025-07-06,business,Customer Success,assigned,
usr_fdbe16a2b842cb15,2025-06-25,business,Operations,assigned,
usr_fd35eb0ae24e6c75,2025-06-14,business,Engineering,assigned,
usr_f7a1328670d38d71,2025-06-03,business,Data,assigned,
usr_4e87fa5165f1226f,2025-05-23,business,Product,assigned,
usr_89a864799eacf55f,2025-05-12,business,Security,assigned,
usr_26f1944b03174a42,2026-06-25,business,Customer Success,assigned,
usr_5f106861e6097afc,2026-06-14,business,Operations,assigned,
usr_d4dc0c0f4429801b,2026-06-03,business,Engineering,assigned,
usr_2f357f0f3d8f2023,2026-05-23,business,Data,assigned,
usr_8961fdcc6e577f9f,2026-05-12,business,Product,assigned,
usr_5e136ea6a196b6f5,2026-05-01,business,Security,assigned,
usr_c352e560db370c1a,2026-04-20,business,Customer Success,assigned,
usr_5d4809c35eb7d809,2026-04-09,business,Operations,assigned,
usr_3b445af42dad7f4d,2026-03-29,business,Engineering,assigned,
usr_09d8042a9070b431,2026-03-18,business,Data,assigned,
usr_07e8ccf4ee220b01,2026-03-07,business,Product,assigned,
usr_f2b781bce8077d2c,2026-02-24,business,Security,assigned,
usr_0d0fca2acfaff5fa,2026-02-13,business,Customer Success,assigned,
usr_1ed644a5a3852c09,2026-02-02,business,Operations,assigned,
usr_2d45dcba27e0d3e5,2026-01-22,business,Engineering,assigned,
usr_d832bea74651c602,2026-01-11,business,Data,assigned,
usr_a838cd73eb35fcb6,2025-12-31,business,Product,assigned,
usr_04014ebea6aa521c,2025-12-20,business,Security,assigned,
usr_e4f3d5abd481bb1a,2025-12-09,business,Customer Success,assigned,
usr_0aa42de2417d0666,2025-11-28,business,Operations,assigned,
usr_adcd77bb6d4fe937,2025-11-17,business,Engineering,assigned,
usr_93eaf7ae7ace28f0,2025-11-06,business,Data,assigned,
usr_cbcc3a6826c37bc7,2025-10-26,business,Product,assigned,
usr_7d99d434d32f0b32,2025-10-15,business,Security,assigned,
usr_c4f2dfed944afbcd,2025-10-04,business,Customer Success,assigned,
usr_fdcea6cc7c5adf4f,2025-09-23,business,Operations,assigned,
usr_049f8ba4fffadeb0,2025-09-12,business,Engineering,assigned,
usr_1fd18aea4d0782ca,2025-09-01,business,Data,assigned,
usr_215416220f92dacf,2025-08-21,business,Product,assigned,
usr_e215eb4a87c68819,2025-08-10,business,Security,assigned,
usr_6dce80f8d6f7251a,2025-07-30,business,Customer Success,assigned,
usr_213c5b1e635fb9b7,2025-07-19,business,Operations,assigned,
usr_1178b78f8e9f6521,2025-07-08,business,Engineering,assigned,
usr_c526a6b2a791d704,2025-06-27,business,Data,assigned,
usr_1d8d1fd494d4e8a7,2025-06-16,business,Product,assigned,
usr_01a0fcf3735115af,2025-06-05,business,Security,assigned,
usr_b632811806f75490,2025-05-25,business,Customer Success,assigned,
usr_9f1bae2babe83075,2025-05-14,business,Operations,assigned,
usr_2acc3e88163caad3,2025-05-03,business,Engineering,assigned,
usr_6a972a02625c7936,2026-06-16,business,Data,assigned,
usr_bf273011849a8eb0,2026-06-05,business,Product,assigned,
usr_4b602158defc20b5,2026-05-25,business,Security,assigned,
usr_f70ee9299c3c7b49,2026-05-14,business,Customer Success,assigned,
usr_0914e0a2fba47173,2026-05-03,business,Operations,assigned,
usr_7b895ccf001fe470,2026-04-22,business,Engineering,assigned,
usr_41ec4a5d88d74bfa,2026-04-11,business,Data,assigned,
usr_09ec7fec6c424172,2026-03-31,business,Product,assigned,
usr_66932d002a1ba743,2026-03-20,business,Security,assigned,
usr_179aca6e85b32dbf,2026-03-09,business,Customer Success,assigned,
usr_d74a9fac6d470baa,2026-02-26,business,Operations,assigned,
usr_f350610b423a1783,2026-02-15,business,Engineering,assigned,
usr_82bba5f489431fed,2026-02-04,business,Data,assigned,
usr_66d1e4d9254db044,2026-01-24,business,Product,assigned,
usr_3ff8915a8fe07f26,2026-01-13,business,Security,assigned,
usr_97780be4bbf61c65,2026-01-02,business,Customer Success,assigned,
usr_d61a05c2612c6d82,2025-12-22,business,Operations,assigned,
usr_346f63e0e2c7303b,2025-12-11,business,Engineering,pending_cancellation,2026-08-01
usr_ecf6a2e9cb68574a,2025-11-30,business,Data,pending_cancellation,2026-08-01
usr_692e8cefd12cef4f,2025-11-19,business,Product,pending_cancellation,2026-08-01
usr_5e9eecf52fc6597d,2025-11-08,business,Security,pending_cancellation,2026-08-01
